Country,Deaths_per_million,Persons_fully_vaccinated_per100,ISO3,Population_below_poverty_line,GDP_per_capita
Albania,1264,44.561,ALB,14.3,6494.4
Andorra,1978,70.211,AND,,43047.7
Armenia,3133,33.268,ARM,26.4,4670.0
Austria,2384,74.993,AUT,13.3,53267.9
Azerbaijan,964,48.093,AZE,4.9,5384.0
Belarus,746,67.685,BLR,5.0,7303.7
Belgium,2844,79.45,BEL,14.8,51767.8
Bosnia and Herzegovina,5015,25.789,BIH,16.9,6916.4
Bulgaria,5615,29.86,BGR,23.8,11635.0
Croatia,4330,55.3,HRV,18.3,17398.8
Cyprus,1395,73.841,CYP,14.7,30798.5
Czechia,4002,64.375,CZE,10.1,26378.5
Denmark,1297,82.435,DNK,12.5,67803.0
Estonia,2122,62.841,EST,21.7,27280.7
Finland,1404,78.899,FIN,12.2,53982.6
France,2365,77.477,FRA,13.6,43518.5
Georgia,4512,29.603,GEO,19.5,5042.4
Germany,1917,78.04,DEU,14.8,50801.8
Greece,3333,72.195,GRC,17.9,20276.5
Hungary,4853,62.948,HUN,12.3,18772.7
Iceland,587,81.761,ISL,8.8,68383.8
Italy,3102,82.947,ITA,20.1,35551.3
Kazakhstan,982,69.306,KAZ,4.3,10041.4
Kosovo,1796,45.92,XKX,17.6,4986.6
Latvia,3307,66.696,LVA,22.9,20642.2
Liechtenstein,2236,67.995,LIE,,169049.2
Lithuania,3437,68.207,LTU,20.6,23433.4
Luxembourg,1809,73.877,LUX,17.5,135682.8
Malta,1520,86.449,MLT,17.1,33257.4
Moldova,3642,26.603,MDA,7.3,5314.5
Monaco,1781,63.442,MCO,,173688.2
Montenegro,4449,40.903,MNE,24.5,9367.0
Netherlands,1311,68.689,NLD,13.6,58061.0
North Macedonia,4584,40.36,MKD,21.6,6720.9
Norway,841,75.627,NOR,12.7,89202.8
Poland,2971,59.627,POL,15.4,17840.9
Portugal,2496,86.246,PRT,17.2,24262.2
Republic of Ireland,1646,80.678,IRL,13.1,99152.1
Romania,3423,42.095,ROU,23.8,14861.9
Russia,2661,53.373,RUS,12.6,12172.8
San Marino,3561,68.595,SMR,,45515.8
Serbia,2542,47.949,SRB,23.2,9215.0
Slovakia,3682,51.127,SVK,11.9,21087.8
Slovenia,3287,57.33,SVN,12.0,29200.8
Spain,2452,79.204,ESP,20.7,30115.7
Sweden,2025,71.354,SWE,17.1,60239.0
Switzerland,1619,66.463,CHE,16.0,93457.4
Turkiye,1185,63.943,TUR,14.4,9586.6
Ukraine,2987,34.65,UKR,1.1,4835.6
United Kingdom,3157,74.586,GBR,18.6,47334.4